Video Title,Video ID,Publish Date,Description
Daniel Ricciardo Returns To The F1 Grid ğŸ¯ğŸ¦¡,LYtguJPJjJg,2023-07-21T08:21:13Z,
Motorbike Jump World Record âš¡ï¸,DMCAnDklHaQ,2023-07-20T07:21:12Z,Motorbike stunt performer Robbie Maddison breaks the record for the longest motorbike jump.
Would You Stand Here? ğŸ«£,-4jTIdvtMvM,2023-07-19T07:00:00Z,Professional cliff diver Molly Carlson takes professional snowboarder Seb Toots to the extremely high 20m diving platform.
Who Are You Picking? ğŸ€,C3r1M_7rd1E,2023-07-18T14:00:08Z,"NBA basketball coach Lethal Shooter meets Cue 6, the basketball robot, for a hoops session."
New Fear Unlocked ğŸ˜¨,MME3oSta-lw,2023-07-17T13:06:33Z,
Can They Capture The Flag? ğŸ«£,X-ubfR9yCHI,2023-07-13T08:19:16Z,
Thatâ€™s A Flying Visit ğŸ¦…,48mK2WSWCMs,2023-07-12T06:00:01Z,
Climbing With NO Ropes ğŸ¤¯,jeC9kQ-DgXQ,2023-07-11T06:35:53Z,
Do You Think She Is Counting? ğŸ¤¯,9I8Dz25YggI,2023-07-10T14:27:47Z,Maja Kuczynska unofficially breaking the world record of most backflips while skydiving.
How Far Did He Go?,WbvTpLJYm98,2023-07-08T06:00:12Z,
Shredding Every Inch Of The City,nVTahZKgI-E,2023-07-07T07:37:27Z,
Shortest Way To Get To The Beach ğŸ–ï¸,JEXzWZvnlls,2023-07-06T09:04:19Z,"Fabio Wibmer explores Valparaiso, Chile, in the best way possible - throwing bangers with his bike all over the city."
F1 Drivers In Mega Trucks ğŸ”¥,BdLqXK_PcrU,2023-07-05T12:32:44Z,F1 drivers Max Verstappen and Yuki Tsunoda race massive mega trucks.
Longest *Illegal* Red Bull Flight,DBod1MLTDKc,2023-07-04T07:17:13Z,The longest *illegal* flugtag flight is still insane cool to watch.
Can He Hit The Coin? ğŸ¾,-MObd-JPIW0,2023-07-03T07:48:27Z,"Tennis pro Stefanos Tsitsipas serves at targets, and every time he hits one the next target gets smaller - starting with an exercise ..."
How High Could You Jump From? ğŸ«£ğŸ’¨,mEer85kiL7c,2023-07-01T07:00:18Z,Cliff Divers show the POV of jumping from increasing heights at Polignano a Mare.
The Fastest Commute Ever âš¡ï¸,hM_q17sKHpA,2023-06-30T07:00:20Z,We set the record for the fastest commute through the Lincoln Tunnel in New York in an F1 car.
Becoming A Record Breaker In Style ğŸ˜,FcZ_hRKrQj4,2023-06-29T13:57:05Z,"Emil Johansson breaks the record for the most number of Crankworx Slopestyle golds (12), while hitting two world firsts in the ..."
Crushing Cars For Fun ğŸ’¥,4_NTZaHHFX0,2023-06-28T12:52:53Z,F1 drivers Max Verstappen and Yuki Tsunoda race massive mega trucks wheel to wheel.
F1 Drivers Race HUGE Mega Trucks! (Max Verstappen vs Yuki Tsunoda) ğŸ‡¦ğŸ‡¹,6jroQWVJLMY,2023-06-27T12:30:03Z,Formula 1 champion Max Verstappen races Yuki Tsunoda in MASSIVE Mega Trucks! On a custom built rowdy off-road obstacle ...
This Drone Is A Professional Cliff Diver ğŸ¤¿,H9AieIxkLXQ,2023-06-26T14:19:02Z,We used a drone that is built to survive diving underwater to showcase Red Bull Cliff Diving.
How Would You Rate These Attempts? ğŸ“ˆâœˆï¸,SRyC_jh1hIg,2023-06-23T16:42:22Z,"A compilation of Red Bull Flugtag flights, including fails and successes!"
How Do Timbersports Athletes Train? ğŸª“ğŸªµ,KJLrh_CtxgQ,2023-06-22T15:16:42Z,7x National Champion and world record holder Matt Cogar shows us how a timbersports athlete trains.
The Most Extreme Game of Capture The Flag? ğŸƒâ€â™‚ï¸ğŸƒâ€â™€ï¸,aIqB11k7h1E,2023-06-21T14:35:03Z,Contestants have to capture the flag at the end of a greasy pole while trying not to fall off.
Will He Solve It In Time? ğŸ˜²,vnFsLlytKMk,2023-06-20T12:08:59Z,Solving a Rubik's Cube while skydiving.
How Far Can They Make It? ğŸ«£,R18yqhUWRTw,2023-06-19T11:12:13Z,"The story behind Fierste Ljepper, an extreme sport in the Netherlands, where competitors vault across the canals."
Can You Guess The Step Count? ğŸ“ˆ,4k2oUPaxf_w,2023-06-16T12:58:37Z,A mountainbiker rides a bike down a Cerro Abajo competition course with hundreds of steps.
Training For Cliff Diving Without Water ğŸ’¦,Zh9h4kxsUnc,2023-06-15T15:09:36Z,How a cliff diver trains vs the result.
Balancing Across The Chain Of A Shipwreck ğŸš¢â›“ï¸,nFKsoQgjInU,2023-06-14T15:20:24Z,Red Bull freerunning athletes try to balance across the chain of an abandoned ship in Thailand.
Laid Back Approach To Basketball ğŸ€,FLctJ-Ujd60,2023-06-13T15:54:39Z,Lethal Shooter hits basketball trickshots lying down on the court.
Two Things Needed: Balance and Courage â›°ï¸,6NjU4HAZn2g,2023-06-12T15:58:43Z,Kenny Belaey rides a bike across a slackline over a 120m drop.
We Canâ€™t Decide Which Angle Is Better ğŸ“¸,DDufhQX5WBc,2023-06-09T12:17:05Z,Drone and 360-cam angles of a cliff dive.
Stand Up Paddling On A Frozen Sea ğŸ¥¶,_OfEBpNKp3k,2023-06-07T11:18:34Z,Explaining why the sea looks slushy.
How Many Tracks Can Marc Marquez guess? ğŸï¸,mwyf20s7OoE,2023-06-05T12:32:51Z,Marc Marquez tries to guess some of the most iconic MotoGP tracks blindfolded. Easy challenge?
Winning An F1 Race With No Driving License,f_eMEAkmx4Q,2023-06-02T13:42:10Z,The True Story Behind Max Verstappen's First F1 Win.
It Keeps Getting Higher ğŸ¤¯,WQvQmE-Zebw,2023-06-01T12:35:36Z,Kayaking over waterfalls that keep increasing in height and size.
Skiing The Worldâ€™s Longest Rail â›·ï¸,1qsRHujAlK0,2023-05-31T13:23:06Z,
Exercises You Didnâ€™t Know Existed ğŸ§,DREN2gFKUIs,2023-05-30T14:41:48Z,
Water Slide Goals ğŸ˜,qyGdj7wDyBA,2023-05-29T07:00:16Z,
For How Long Would You Hold? ğŸ’ª,blUimHdG4GY,2023-05-26T12:59:27Z,
Can Daniel Ricciardo Guess Them All?,SCJp6CmbScM,2023-05-24T12:34:47Z,Daniel Ricciardo guesses F1 tracks blindfolded.
Can They Make It Across? â›·ï¸ğŸ‚,eng9bKtL8rA,2023-05-23T14:51:08Z,Trying to ski and snowboard across water.
Creating One Single F1 Car Bolt,xX-nB-3ZDwg,2023-05-22T17:55:42Z,This is the process of how Red Bull Racing create one individual F1 car part.
Empty Airport Skate Challenge ğŸ›¹ âœˆï¸,I-unDEoXnN4,2023-05-22T14:00:09Z,A skate competition INSIDE an empty airport? Jake Wooten sets a series of street & park skateboarding challenges for Jamie Foy ...
Heart Pounding During A Race â¤ï¸,PDWmKb3ilzA,2023-05-18T08:12:54Z,We attached a heart rate monitor to a mountainbiker during a pump track race.
Full Speed At Red Bull Soapbox,kW-MAUPmRmE,2023-05-17T11:32:25Z,"Contestants racing in a fun Anchorman soapbox hit high speeds, drift, and end with a big crash."
F1 Drivers On Mini Jet Boats ğŸš¤,YdvBJ8gxHoQ,2023-05-16T13:26:43Z,F1 drivers Daniel Ricciardo and Yuki Tsunoda race powerful mini jet boats in Miami.
Who Said Hangars Are For Parking Planes?,r29ItlbUip4,2023-05-15T13:15:36Z,Flying two planes at the same time through a hangar.
Landing A Plane On The Top Of A Building,V6V8jcGGE1w,2023-05-12T15:13:54Z,"He landed a plane on a helipad top of top of the 56-storie Burj Al Arab Jumeirah building, the iconic seven-star hotel in Dubai."
He Is Climbing A Frozen Waterfall ğŸ¥¶ğŸ§—â€â™‚ï¸,N8isO3I-i5Y,2023-05-11T18:40:34Z,
